sep=,
 ,acid,atom,baby,ball,band,bear,bell,bike,bird,boat,body,bomb,bone,book,bush,card,cash,chat,city,coat,coin,cold,crab,data,deck,deer,disc,door,draw,drum,face,fire,fish,flag,foot,fort,frog,game,gate,gear,girl,goat,gold,golf,hair,hand,head,hero,hill,holy,idea,iron,jump,king,leaf,lime,lion,lock,love,luck,mail,meat,milk,moon,nest,nose,ogre,park,peak,pill,pipe,plug,pond,pony,pool,quiz,rail,rain,ring,road,rock,rose,sand,seal,ship,shoe,snow,sock,song,star,tank,time,tree,vase,wall,warm,wave,well,wind,wolf,wood,xray,yarn,zero,
door, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : boor-broo-brow-braw,2 : dour-doum,4 : doer-dore-fore-fare,3 : doer-dore-fore,4 : poor-pooh-posh-pish,5 : boor-boar-boat-blat-flat,2 : boor-boot,3 : boor-boot-foot,4 : boor-broo-brow-frow,4 : doer-dore-dare-dame,4 : doer-dore-dare-date,3 : boor-boar-bear,4 : doer-dore-dire-dirl,3 : boor-boar-boat,2 : rood-good,3 : poor-poof-goof,4 : boor-boar-hoar-haar,4 : doer-hoer-hoed-haed,3 : rood-road-read,2 : doer-hoer,4 : moor-mool-moll-mill,3 : rood-hood-hold,4 : doer-does-dies-ides,4 : dorr-torr-tori-nori,4 : poor-poop-pomp-pump,5 : boor-book-kook-konk-kink,4 : boor-boar-bear-lear,4 : moor-mool-moil-limo,3 : boor-boon-loon,3 : boor-book-look,3 : doer-dore-lore,4 : boor-book-look-lock,3 : moor-mool-moil,3 : moor-moot-moat,4 : moor-mood-mold-mild,1 : moor,5 : boor-boar-bear-near-neat,3 : doer-does-noes,2 : doer-goer,3 : dorr-dork-pork,4 : boor-boar-bear-pear,3 : poor-pool-poll,4 : doer-dore-pore-pope,4 : dour-sour-slur-slug,2 : poor-pood,3 : poor-pood-pond,1 : poor,6 : doer-deer-deet-duet-duit-quit,4 : moor-mool-moil-roil,5 : boor-boon-coon-coin-cain,5 : boor-boos-bios-bins-rins,1 : rood,2 : rood-rook,2 : doer-rode,4 : dorr-dors-sord-sard,4 : boor-boar-soar-sear,4 : poor-pooh-posh-pish,3 : doer-hoer-hoes,4 : boor-boon-soon-sown,3 : boor-book-sook,4 : boor-book-bonk-bong,3 : boor-boar-soar,4 : boor-book-bonk-bank,4 : doer-dore-tore-tire,3 : doer-deer-dree,4 : doer-rode-rose-rase,4 : moor-mool-moll-mall,3 : dorr-dorm-worm,4 : doer-dore-wore-ware,4 : moor-mool-moll-mell,4 : rood-food-fond-find,3 : poor-poof-woof,1 : rood,5 : boor-boar-bear-brae-bray,4 : boor-boon-born-barn,3 : doer-hoer-hero,
draw, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : dram,3 : ward-fard-fare,3 : ward-fard-fare,4 : drat-frat-fiat-fist,2 : drag-frag,4 : braw-brat-boat-boot,3 : drat-frat-fart,2 : drag-frag,3 : ward-ware-wame,4 : braw-brae-bare-bate,3 : braw-brae-bear,4 : drab-drib-bird-gird,2 : drat-grat,3 : drag-grad-goad,4 : drag-frag-flag-flog,4 : ward-hard-hark-haik,2 : ward-hard,3 : braw-brad-bead,3 : ward-hard-herd,4 : ward-hard-harl-hall,4 : drat-doat-dolt-holt,5 : drew-dree-rede-ride-aide,5 : ward-sard-sord-sori-nori,4 : dram-pram-ramp-rump,4 : ward-wand-wind-kind,4 : braw-brad-bead-lead,4 : ward-ware-wire-lire,5 : craw-chaw-chow-chon-cion,4 : ward-lard-lark-lack,4 : ward-lard-lord-lore,4 : ward-lard-lark-lurk,4 : braw-blaw-bawl-bail,3 : braw-brat-beat,4 : ward-wark-mark-mirk,4 : drat-doat-moat-moot,4 : braw-brat-beat-neat,4 : drat-doat-dost-dose,4 : ward-word-wore-gore,2 : ward-pard,3 : drat-prat-peat,5 : braw-blaw-bawl-pawl-pall,4 : ward-ware-wire-wipe,5 : braw-blaw-slaw-slag-slug,4 : drab-bard-band-bond,5 : drab-bard-band-bond-pond,4 : ward-word-wood-pood,5 : drag-grad-grid-guid-quid,3 : ward-lard-lari,3 : ward-warn-wain,4 : braw-bran-gran-grin,3 : braw-brad-orad,4 : ward-card-cord-cork,4 : braw-brow-bros-eros,2 : ward-sard,4 : braw-brae-bear-sear,4 : craw-chaw-chap-chip,4 : craw-chaw-shaw-show,4 : braw-blaw-slaw-snaw,4 : ward-sard-sark-sack,4 : ward-sard-sand-sang,3 : ward-wars-tars,4 : drab-darb-dark-dank,4 : dram-tram-team-tame,2 : drew-dree,4 : braw-brae-bare-base,3 : ward-ware-wale,1 : ward,2 : ward-ware,4 : ward-word-wold-weld,2 : ward-wand,3 : ward-word-wold,2 : ward-word,1 : dray,2 : dray-yard,4 : ward-hard-herd-hero,
drum, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5 : arum-mura-mure-mare-fare,4 : arum-mura-mure-mire,5 : dram-drat-frat-fiat-fist,3 : dram-drag-frag,4 : doum-doom-boom-boot,3 : doum-dorm-form,2 : drug-frug,4 : dram-pram-ramp-gamp,4 : dram-tram-team-mate,4 : grum-gaum-gaur-guar,4 : grum-grim-grid-gird,3 : grum-gram-grat,4 : grum-gram-grad-goad,4 : drug-frug-frog-flog,5 : arum-alum-maul-haul-hail,4 : dram-drab-bard-hard,4 : dram-drab-brad-bead,4 : grum-geum-germ-herm,5 : arum-alum-maul-haul-hall,5 : arum-mura-mora-mola-moly,6 : grum-glum-glim-glia-ilia-ilea,4 : doum-dorm-norm-nori,4 : arum-alum-plum-lump,4 : grum-grim-grin-ring,5 : doum-doom-loom-loam-loaf,5 : arum-alum-plum-lump-limp,4 : doum-doom-loom-loon,4 : doum-doom-loom-look,4 : doum-dorm-dore-lore,4 : arum-mura-murk-lurk,3 : arum-alum-maul,3 : dram-tram-team,4 : arum-mura-murk-mirk,3 : doum-doom-mood,5 : dram-pram-prat-peat-neat,4 : doum-dorm-dore-dose,4 : doum-dorm-dore-gore,4 : arum-mura-murk-mark,4 : dram-pram-prat-peat,5 : arum-alum-maul-mall-pall,5 : doum-dorm-dore-pore-pope,3 : arum-alum-plum,4 : doum-doom-mood-pood,5 : doum-doom-mood-pood-pond,4 : doum-doom-loom-loop,5 : grum-grim-grid-guid-quid,4 : arum-alum-maul-mail,4 : grum-gaum-gaun-gain,3 : grum-grim-grin,4 : arum-mura-mora-roam,4 : doum-doom-room-rook,4 : doum-dorm-dore-sore,4 : dram-drab-bard-sard,4 : dram-tram-team-seam,5 : arum-alum-slum-slim-shim,5 : arum-alum-slum-slue-sloe,5 : grum-glum-glom-glow-slow,4 : doum-dorm-dork-dock,5 : grum-gram-gran-rang-sang,4 : doum-dour-sour-soar,5 : grum-gram-gran-rang-tang,4 : dram-tram-team-tame,3 : grum-grue-true,5 : arum-mura-sura-sera-rase,4 : arum-alum-maul-waul,3 : doum-dorm-worm,4 : dram-draw-ward-ware,5 : arum-alum-maul-waul-wall,4 : dram-draw-ward-wand,5 : grum-glum-glom-glow-flow,3 : doum-doom-mood,2 : dram-dray,3 : dram-dray-yard,5 : arum-mura-murk-merk-zerk,
face, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : fice,3 : fact-fast-fist,3 : fare-frae-frag,3 : fare-fore-fort,2 : fare-fore,3 : fare-fore-froe,1 : fame,1 : fate,2 : race-rage,4 : dace-dice-dire-dirl,3 : tace-taco-coat,4 : mace-male-mole-mold,4 : race-rale-role-rolf,4 : lace-lack-hack-haik,3 : lace-lane-land,2 : fade-hade,3 : fare-hare-here,3 : fice-file-fill,4 : dace-dale-hale-hole,4 : dace-dice-dime-idem,5 : tace-tare-tore-tori-nori,4 : dace-dame-damp-dump,3 : fice-fine-kine,2 : fade-deaf,2 : lace-lice,4 : lace-lice-lime-limn,2 : lace-lack,2 : lace-lave,2 : lace-luce,3 : mace-male-mall,2 : mace-mate,3 : mace-mice-mile,4 : mace-mane-mano-mono,3 : fate-feat-neat,3 : lace-lase-lose,3 : fare-fore-gore,2 : pace-pare,3 : lace-lake-leak,3 : pace-pice-pile,2 : pace-pice,5 : lace-luce-luge-lugs-slug,3 : pace-pane-pone,3 : pace-pane-pone,4 : pace-pale-pole-poll,5 : dace-duce-duct-duit-quit,3 : fare-farl-fail,4 : pace-pack-paik-pain,3 : fane-fang-rang,3 : dace-dare-read,2 : race-rack,2 : race-rase,2 : fane-sane,2 : lace-lase,4 : pace-pase-pash-pish,4 : lace-lase-lose-hose,4 : fane-wane-wans-wons,3 : lace-lack-sack,3 : fane-sane-sone,3 : race-rase-sear,2 : tace-tack,2 : tace-tame,3 : race-rate-rete,2 : lace-lase,3 : dace-dale-wale,2 : fare-ware,1 : fave,4 : dace-dale-wale-wall,3 : fice-fine-wine,4 : race-rale-role-rolf,4 : fare-ware-wore-word,3 : fare-frae-fray,2 : fare-yare,4 : race-care-cere-cero,
fire, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : wire-wise-wish,3 : fare-frae-frag,2 : fore-fort,1 : fore,2 : fore-froe,2 : fare-fame,2 : fare-fate,2 : fare-fear,2 : dire-dirl,4 : mire-more-mort-moat,3 : fore-ford-fold,4 : lire-lore-role-rolf,2 : hire-heir,3 : hire-hare-hard,3 : dire-dare-read,2 : hire-here,2 : file-fill,4 : cire-core-cole-hole,3 : dire-dime-idem,4 : sire-sore-sori-nori,4 : lire-lime-limp-jimp,2 : fine-kine,3 : fare-fade-deaf,1 : lire,3 : lire-lime-limn,3 : lire-lice-lick,2 : lire-lore,3 : lire-lure-luce,3 : lire-lime-lima,3 : mire-mare-mate,2 : mire-mile,3 : mire-more-morn,4 : sire-sere-sene-sent,3 : dire-dore-dose,2 : fore-gore,2 : fare-pare,3 : fare-pare-pear,2 : file-pile,2 : sire-sipe,5 : lire-lure-luge-lugs-slug,3 : fore-pore-pone,3 : fore-pore-pone,4 : fore-pore-pole-poll,4 : reif-rein-ruin-quin,2 : lire-lira,2 : firn-airn,2 : firn-girn,3 : dire-dare-read,3 : cire-core-cork,2 : sire-sore,3 : sire-sine-sane,3 : fare-fear-sear,4 : sire-sine-sinh-shin,4 : dire-dore-dose-hose,4 : sire-sore-sorn-sown,3 : sire-sice-sick,3 : sire-sore-sone,3 : tire-tare-tars,4 : dire-dare-dark-dank,1 : tire,2 : fere-free,3 : cire-care-case,3 : wire-ware-wale,2 : wire-ware,2 : wire-ware,3 : wire-wile-will,2 : wire-wine,4 : lire-lore-role-rolf,3 : wire-wore-word,3 : fare-frae-fray,2 : fare-yare,3 : cire-cere-cero,
fish, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : fist-fiat-flat,4 : fash-fast-fart-fort,3 : fash-fast-fart,4 : fist-fiat-frat-frag,4 : fash-cash-case-came,4 : pish-pash-path-pate,4 : fash-rash-rase-rage,3 : fist-gist-girt,4 : fist-cist-cost-coat,4 : fist-gist-gilt-gild,5 : pish-posh-pooh-poof-goof,4 : fist-fiat-fiar-fair,4 : pish-hips-hins-hind,4 : fist-hist-hest-heat,4 : fash-rash-resh-hers,3 : fist-hist-hilt,4 : pish-posh-posy-poly,4 : dish-diss-dies-ides,5 : dish-disk-dink-oink-ikon,4 : wish-wisp-wimp-jimp,4 : dish-disk-dink-gink,4 : fash-lash-lase-leas,4 : dish-diss-dims-dime,4 : fist-list-lint-linn,4 : dish-disk-dick-lick,4 : pish-posh-pose-lose,4 : dish-disk-dusk-duck,5 : dish-disk-skid-said-maid,3 : fist-fiat-feat,3 : fist-mist-milt,4 : pish-posh-pooh-poon,3 : wish-wist-west,3 : pish-posh-nosh,5 : pish-posh-pose-pore-gore,4 : dish-disk-dirk-dark,4 : pish-pash-pase-peas,4 : pish-pith-pity-pily,3 : pish-piss-pips,5 : pish-push-puss-puls-plus,4 : pish-posh-pooh-pood,3 : pish-posh-posy,3 : pish-posh-pooh,5 : pish-ship-shit-suit-quit,4 : fist-fiat-fiar-liar,4 : pish-ship-shin-sain,4 : dish-disk-risk-rink,5 : pish-posh-pooh-pood-rood,4 : dish-disk-risk-rick,3 : pish-posh-pose,4 : dish-disk-skid-said,3 : fash-lash-lase,1 : pish,3 : pish-posh-shop,4 : pish-posh-shop-show,4 : dish-disk-dick-sick,5 : dish-disk-dink-sink-sing,4 : wish-wash-wast-staw,4 : dish-disk-dink-dank,4 : dish-diss-dims-dime,5 : wish-with-wite-rite-rete,3 : pish-pash-pase,4 : wish-wise-wile-wale,4 : wish-wash-wasp-warp,3 : wish-wise-wive,4 : wish-wise-wile-will,3 : wish-wise-wine,5 : pish-posh-pooh-poof-woof,4 : pish-posh-pooh-pood,4 : fist-fiat-frat-fray,5 : dish-disk-dirk-dark-darn,5 : fash-rash-resh-hers-hero,
flag, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : clag-clog-clot-coot,3 : frag-frat-fart,1 : frag,3 : slag-gals-gams,3 : slag-stag-gats,3 : frag-frae-fear,4 : slag-gals-gall-gill,3 : frag-frat-grat,2 : flog-golf,1 : flog,4 : flat-fiat-fiar-fair,4 : slag-snag-sang-hang,3 : flat-feat-heat,5 : frag-frae-free-fere-here,4 : slag-gals-gall-hall,4 : clag-clog-cloy-coly,4 : flaw-flew-flea-ilea,5 : clag-clog-clon-cion-icon,5 : slag-slug-plug-plum-lump,4 : slag-snag-sang-sing,3 : flan-elan-lean,4 : slag-slam-lams-lame,4 : clag-clog-clon-cion,4 : clag-clay-lacy-lack,4 : slag-slog-sloe-lose,4 : clag-clay-lacy-lack,4 : slag-gals-gall-mall,2 : flat-feat,4 : slag-slam-slim-mils,4 : clag-clog-clon-coon,3 : flat-feat-neat,4 : slag-slog-sloe-lose,5 : slag-slog-logs-loge-ogle,4 : slag-slap-pals-pars,3 : flan-plan-pean,4 : slag-slap-pals-pall,5 : slag-slap-slip-lips-pips,2 : slag-slug,5 : clag-clog-clod-plod-pood,4 : flay-play-ploy-poly,4 : flog-flop-plop-poop,5 : slag-slat-slit-suit-quit,4 : slag-lags-lars-lari,4 : flan-plan-pian-pain,4 : slag-snag-sang-rang,3 : flam-foam-roam,5 : clag-clay-lacy-racy-rack,4 : slag-slog-sloe-lose,3 : slag-snag-sang,3 : slag-slam-seam,3 : slag-slap-slip,3 : slag-shag-shog,3 : slag-snag-snog,4 : slag-slap-soap-soak,3 : slag-snag-snog,2 : slag-stag,4 : slag-skag-skat-task,4 : flat-feat-meat-tame,3 : frag-frae-free,4 : slag-stag-gast-vast,3 : slag-gals-gall,4 : slag-swag-wags-wars,4 : slag-swag-wags-wage,4 : slag-gals-gall-wall,5 : slag-snag-snaw-wans-wins,2 : flog-flow,4 : flog-flow-wolf-woof,2 : frag-fray,4 : frag-brag-bran-barn,6 : frag-frog-froe-fore-core-cero,
foot, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : fort,3 : fort-fore-froe,4 : moot-moat-meat-tame,4 : boot-boat-beat-bate,4 : boot-boat-beat-bear,4 : root-riot-tiro-giro,2 : boot-boat,2 : food-good,3 : coot-coof-goof,4 : fool-foil-fail-hail,4 : hoot-holt-halt-hant,4 : boot-boat-beat-heat,4 : hoot-holt-hole-helo,3 : hoot-holt-hilt,2 : hoot-holt,5 : fool-foal-feal-flea-ilea,4 : coot-coon-cion-icon,5 : coot-coop-poop-pomp-pump,4 : font-fond-find-kind,3 : loot-loof-loaf,4 : loot-loft-lift-life,2 : loot-loon,2 : loot-look,3 : loot-lost-lose,3 : loot-look-lock,3 : moot-mool-moil,2 : moot-moat,3 : moot-molt-milt,1 : moot,3 : hoot-host-hest,3 : hoot-host-hose,3 : fort-fore-gore,3 : fort-port-part,4 : boot-boat-beat-peat,3 : fool-pool-poll,4 : fort-port-pore-pope,4 : soot-slot-slut-slug,2 : font-fond,3 : font-fond-pond,1 : fool,5 : soot-shot-shit-suit-quit,3 : fool-foil-roil,4 : coot-coon-coin-cain,4 : font-fond-find-rind,2 : root-rood,2 : root-rook,3 : hoot-host-hose,4 : soot-sort-sord-sard,3 : fool-foal-feal,3 : soot-shot-shit,2 : soot-shot,2 : soot-snot,2 : soot-sook,3 : soot-snot-snog,4 : boot-boat-boar-soar,4 : boot-book-bonk-bank,4 : moot-moat-meat-tame,3 : toot-trot-tret,4 : coot-cost-cast-vast,4 : boot-bolt-boll-ball,3 : fort-wort-wart,4 : font-wont-want-wane,4 : boot-bolt-belt-welt,3 : font-fond-find,2 : fool-fowl,1 : food,4 : boot-boat-brat-bray,4 : boot-bort-born-barn,4 : fort-fore-core-cero,
fort, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : fore-froe,3 : fart-fare-fame,3 : fart-fare-fate,3 : fart-fare-fear,4 : port-porn-pirn-girn,2 : bort-boat,2 : ford-fold,3 : ford-fold-gold,4 : port-part-parr-pair,3 : fart-hart-hant,4 : bort-boat-beat-heat,3 : fore-core-cero,4 : bort-bolt-holt-hilt,3 : bort-bolt-holt,5 : bort-bore-bode-bide-aide,3 : sort-sori-nori,5 : bort-bora-bura-burp-bump,4 : font-fond-find-kind,4 : fart-fare-fade-deaf,3 : fore-lore-lire,3 : foot-loot-loon,3 : port-pork-pock,2 : fore-lore,4 : port-pork-pock-lock,3 : mort-mart-marl,2 : mort-moat,3 : mort-molt-milt,2 : mort-moot,3 : port-pert-pest,3 : port-post-pose,2 : fore-gore,2 : port-part,3 : port-pert-peat,4 : bort-bolt-boll-poll,3 : port-pore-pope,5 : bort-bout-gout-glut-glug,2 : font-fond,3 : port-post-posy,2 : foot-fool,5 : tort-toit-doit-duit-quit,3 : fart-farl-fail,4 : port-porn-pirn-airn,4 : port-porn-pirn-girn,3 : mort-mora-roam,2 : fork-cork,2 : sort-sore,3 : sort-sord-sard,4 : bort-boat-beat-seat,4 : port-post-posh-pish,3 : sort-soot-shot,3 : sort-soot-snot,3 : port-pork-pock,3 : sort-sore-sone,3 : sort-sora-soar,4 : sort-tors-tars-tans,3 : tort-tore-tire,3 : tort-trot-tret,3 : fart-fast-vast,3 : fart-farl-fall,2 : wort-wart,3 : wort-wart-ware,3 : wort-wert-welt,3 : font-fond-find,3 : wort-word-wold,2 : wort-word,3 : fart-frat-fray,3 : bort-born-barn,3 : fore-core-cero,
frog, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : frag-brag-garb-gamb,4 : frag-frae-fare-fate,3 : frag-frae-fear,3 : frig-trig-girt,3 : grog-grot-grat,2 : flog-golf,1 : flog,5 : frag-frae-fear-hear-haar,5 : frag-brag-brad-bard-hard,4 : frag-brag-brad-bead,4 : froe-free-fere-here,5 : flog-golf-rolf-roll-rill,4 : flog-clog-cloy-coly,5 : flog-floe-aloe-olea-ilea,4 : from-form-norm-nori,4 : prog-prom-romp-rump,4 : grog-grig-grin-ring,4 : flog-floe-flee-flea,4 : froe-fore-lore-lire,4 : flog-clog-clon-cion,5 : prog-prod-dorp-dork-dock,3 : froe-fore-lore,5 : flog-floe-flue-clue-luce,5 : grog-grig-grin-gain-main,3 : frag-frat-feat,5 : flog-golf-gold-mold-mild,4 : prog-prod-pood-mood,4 : frag-frat-feat-neat,4 : prog-pros-eros-rose,3 : prog-gorp-gore,4 : frag-frae-fare-pare,4 : frag-frae-fear-pear,5 : prog-prod-pood-pool-poll,4 : froe-fore-pore-pope,3 : flog-slog-slug,3 : prog-prod-pood,4 : prog-prod-pood-pond,3 : prog-prod-pood,5 : grog-grig-grid-guid-quid,5 : grog-grig-grid-arid-aril,4 : grog-grig-grin-gain,3 : grog-grig-grin,4 : prog-prod-pood-rood,4 : froe-fore-core-cork,3 : prog-pros-eros,5 : flog-slog-snog-snag-sang,4 : frag-frae-fear-sear,4 : flog-slog-shog-shop,3 : flog-slog-shog,3 : flog-slog-snog,5 : prog-prod-dorp-dork-dock,3 : flog-slog-snog,4 : flog-slog-slag-stag,5 : grog-grot-grat-gnat-tang,4 : froe-fore-tore-tire,2 : froe-free,5 : prog-pros-eros-eras-rase,5 : flog-slog-slag-gals-gall,3 : from-form-worm,4 : frag-frae-fare-ware,5 : flog-floe-flee-feel-weel,5 : grog-grig-grin-ring-wing,2 : flog-flow,3 : prog-prod-pood,2 : frag-fray,4 : frag-brag-bran-barn,4 : froe-fore-core-cero,
game, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : gate,2 : gage-rage,3 : gale-gall-gill,3 : tame-meat-moat,4 : came-come-cole-cold,4 : gale-rale-role-rolf,4 : hame-hale-hall-hail,3 : hame-hade-haed,2 : dame-mead,3 : hame-heme-here,3 : hame-hale-hall,3 : hame-home-hole,3 : dame-dime-idem,5 : came-come-cone-coni-icon,3 : dame-damp-dump,3 : kame-kane-kine,3 : dame-dale-lead,1 : lame,3 : lame-lime-limn,3 : lame-lace-lack,2 : lame-lave,3 : lame-lace-luce,3 : lame-lime-lima,1 : tame,3 : lame-lime-mile,3 : name-mean-moan,3 : tame-meat-neat,2 : name-nome,3 : gane-gone-gore,3 : came-care-pare,2 : gape-peag,3 : gale-pale-pile,3 : gale-pale-pile,4 : lame-lamp-lump-plum,3 : gane-pane-pone,3 : gane-pane-pone,4 : gale-pale-pole-poll,6 : came-cade-cadi-caid-qaid-quid,4 : fame-fare-farl-fail,3 : gane-gaen-gain,3 : gane-gang-rang,3 : dame-dare-read,4 : came-come-core-cork,3 : came-case-rase,2 : same-sane,2 : lame-lase,4 : hame-hams-haps-hips,3 : hame-home-hose,4 : name-nome-noms-nows,4 : came-case-cask-sack,3 : same-some-sone,3 : same-seam-sear,3 : lame-lane-lank,1 : tame,3 : gate-rate-rete,2 : came-case,2 : wame-wale,2 : wame-ware,1 : wame,3 : lame-meal-weal,3 : wame-wane-wine,4 : gale-rale-role-rolf,4 : wame-ware-wore-word,4 : fame-fare-frae-fray,3 : came-care-yare,4 : came-come-core-cero,
