sep=,
gate, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : rate-rage,3 : gale-gall-gill,3 : bate-beat-boat,4 : bate-bale-bole-bold,4 : rate-rote-role-rolf,4 : hate-hale-hall-hail,3 : bate-bane-band,2 : hate-hade,3 : hate-hare-here,3 : hate-hale-hall,3 : hate-hale-hole,4 : bate-bite-bide-aide,5 : cate-cote-cone-coni-icon,4 : date-dame-damp-dump,3 : gane-kane-kine,3 : date-dale-lead,2 : late-lite,4 : late-lite-lime-limn,3 : late-lace-lack,2 : late-lave,3 : late-lute-luce,3 : late-lati-tail,1 : mate,3 : mate-mite-mile,4 : mate-mote-more-morn,3 : bate-beat-neat,3 : cate-cote-note,3 : gane-gone-gore,2 : pate-pare,2 : pate-peat,3 : pate-pale-pile,3 : pate-pace-pice,4 : gale-gall-gull-gulp,3 : pate-pane-pone,3 : pate-pane-pone,4 : pate-pale-pole-poll,6 : cate-cade-cadi-caid-qaid-quid,3 : late-lati-lari,3 : gane-gaen-gain,3 : gane-gang-rang,3 : date-dare-read,3 : rate-race-rack,2 : rate-rote,2 : sate-sane,2 : late-lase,4 : hate-hats-hits-hips,4 : date-dote-dose-hose,4 : gane-wane-wans-wons,4 : cate-case-cask-sack,3 : sate-sane-sone,2 : rate-rats,3 : bate-bane-bank,2 : mate-mite,2 : rate-rete,2 : bate-base,2 : gale-wale,3 : bate-bare-ware,1 : gave,3 : late-tela-tell,3 : gane-wane-wine,4 : rate-rote-role-rolf,4 : date-dato-toad-woad,4 : bate-bare-brae-bray,3 : bate-bare-yare,4 : cate-cete-cere-cero,
gear, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : dear-deal-dial-dirl,2 : gnar-gnat,4 : dear-read-road-goad,4 : lear-rale-role-rolf,2 : hear-haar,3 : hear-head-haed,1 : hear,3 : hear-hoar-hoer,3 : hear-heal-hell,4 : hear-head-held-hold,4 : fear-feal-flea-ilea,5 : sear-soar-sora-sori-nori,4 : hear-heap-hemp-hump,3 : gnar-rang-ring,1 : lear,4 : dear-deal-meal-lame,4 : lear-liar-lier-lien,4 : bear-beak-beck-bock,3 : rage-rave-lave,4 : bear-beak-beck-buck,3 : lear-liar-rail,2 : bear-beat,4 : lear-rale-male-mile,4 : bear-boar-boor-moor,2 : near-neat,3 : sear-rase-rose,3 : ager-agee-ogee,2 : pear-pare,1 : pear,3 : pear-peal-pial,3 : pear-rape-ripe,5 : lear-leas-legs-lugs-slug,4 : bear-bead-bend-pend,4 : near-neap-pane-pone,4 : bear-boar-boor-poor,5 : dear-dead-duad-quad-quid,2 : lear-liar,3 : lear-liar-rail,2 : gnar-rang,2 : dear-read,3 : rage-race-rack,2 : sear-rase,3 : gnar-rang-sang,1 : sear,4 : sear-seam-sham-shim,4 : hear-hoar-hoer-hoes,3 : gnar-gnaw-snaw,3 : sear-soar-soak,3 : gnar-rang-sang,1 : sear,3 : gnar-knar-rank,3 : tear-team-tame,3 : bear-beer-bree,2 : sear-rase,3 : lear-rale-wale,2 : wear-ware,2 : wear-ware,2 : wear-weal,4 : bear-bead-bend-wend,4 : fear-feal-foal-fowl,4 : dear-read-road-woad,3 : bear-brae-bray,2 : near-earn,3 : year-aery-aero,
girl, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : girt-grit-grat,2 : gill-gild,3 : gill-gull-gulf,4 : dirl-dial-rial-lair,4 : birl-bird-bard-hard,4 : dirl-dial-deal-heal,4 : birl-burl-hurl-herl,1 : gill,4 : gill-hill-hilt-holt,4 : dirl-diel-dies-ides,4 : tirl-tiro-tori-nori,4 : birl-burl-burp-bump,2 : girn-ring,4 : dirl-dial-deal-feal,3 : dirl-dire-lire,3 : girn-pirn-pion,4 : dirl-dirk-dork-dock,4 : dirl-dire-lire-lore,4 : dirl-dirk-dick-lick,3 : virl-vial-vail,4 : dirl-dial-deal-meal,2 : gill-mill,4 : gill-mill-moll-mool,3 : girt-gist-gest,4 : dirl-dire-dore-dose,4 : dirl-dire-dore-gore,3 : birl-birk-bark,4 : dirl-dial-pial-peal,1 : gill,3 : gill-pill-pile,3 : gill-gull-gulp,4 : birl-bird-bind-bond,4 : gill-pill-poll-poly,3 : gill-pill-poll,4 : gird-grid-guid-quid,3 : dirl-dial-rial,2 : girn-airn,1 : girn,4 : dirl-dire-dare-read,4 : dirl-dirk-dork-cork,4 : dirl-dire-sire-sore,4 : birl-bird-bard-sard,3 : dirl-dial-sial,4 : girt-gist-hist-shit,5 : dirl-diel-dies-hies-hoes,5 : girn-pirn-porn-sorn-sown,4 : dirl-dirk-dork-dock,3 : girn-ring-sing,4 : tirl-tire-tare-tars,4 : birl-birk-bark-bank,2 : tirl-tire,4 : dirl-dire-dere-dree,4 : virl-vial-veal-vale,2 : gill-will,4 : birl-bird-bard-ward,4 : dirl-dire-wire-ware,2 : gill-will,3 : birl-bird-bind,4 : gill-rill-roll-rolf,4 : gill-will-wild-wold,4 : gird-yird-yard-dray,3 : gird-yird-yard,5 : birl-burl-hurl-herl-hero,
goat, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : goad,2 : goad-gold,4 : boat-boar-hoar-haar,3 : gnat-tang-hang,3 : boat-beat-heat,4 : boat-boar-hoar-hoer,4 : boat-bolt-holt-hilt,3 : boat-bolt-holt,5 : doat-dost-dose-odes-ides,4 : toga-tora-tori-nori,5 : moat-meat-tame-tamp-tump,3 : gnat-tang-ting,3 : goad-load-lead,4 : moat-meat-meal-lame,4 : boat-boot-loot-loon,3 : coat-coal-loca,4 : boat-bolt-volt-vole,4 : coat-coal-loca-lock,4 : coat-coal-coil-moil,1 : moat,3 : moat-molt-milt,2 : moat-moot,3 : boat-beat-neat,3 : doat-dost-dose,3 : goas-goes-goer,3 : grat-prat-part,3 : boat-beat-peat,4 : boat-bolt-boll-poll,5 : boat-bolt-bole-pole-pile,3 : gout-glut-glug,3 : goad-good-pood,4 : coat-colt-coly-poly,3 : coat-coot-cool,4 : doat-doit-duit-quit,4 : coat-coal-coil-roil,4 : gnat-gnar-rang-rani,3 : gnat-gnar-rang,1 : goad,4 : boat-boot-root-rook,3 : doat-dost-dose,3 : gnat-tang-sang,3 : boat-beat-seat,3 : ghat-shat-shit,3 : ghat-shat-shot,3 : gnat-gnaw-snaw,3 : goas-koas-soak,3 : gnat-tang-sang,3 : boat-boar-soar,2 : gnat-tang,3 : moat-meat-tame,4 : boat-brat-brae-bree,4 : boat-beat-bate-base,3 : goal-gaol-gall,4 : boat-bort-wort-wart,4 : moat-meat-tame-wame,4 : boat-beat-belt-welt,4 : gnat-tang-ting-wing,3 : goad-woad-wold,2 : goad-woad,2 : grat-gray,4 : boat-brat-bran-barn,5 : boat-bort-bore-core-cero,
gold, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : golf,5 : bold-bald-ball-hall-hail,3 : bold-bald-band,2 : hold-held,3 : hold-held-herd,2 : gild-gill,1 : hold,5 : bold-bole-bile-bide-aide,4 : sold-sord-sori-nori,5 : hold-held-help-hemp-hump,4 : bold-bond-bind-kind,3 : goad-load-lead,3 : mold-mild-mile,3 : good-goon-loon,3 : cold-cola-loca,3 : bold-bole-vole,4 : cold-cola-loca-lock,3 : mold-moll-mall,3 : mold-meld-mead,2 : mold-mild,2 : mold-mood,3 : geld-gelt-gest,3 : hold-hole-hose,4 : bold-bole-bore-gore,4 : bold-bald-bard-pard,4 : geld-geed-peed-peek,2 : gild-gill,4 : bold-bole-pole-pile,3 : golf-gulf-gulp,2 : bold-bond,3 : bold-bond-pond,2 : good-pood,5 : told-dolt-doit-duit-quit,4 : bold-bald-ball-bail,4 : gild-gird-girn-airn,3 : gild-gird-girn,1 : goad,3 : cold-cord-cork,3 : bold-bole-role,3 : bold-bald-band,3 : sold-sole-sale,4 : hold-hols-hops-hips,3 : hold-hoed-hoes,3 : gowd-gown-sown,3 : hold-holk-hock,3 : bold-bond-bong,4 : sold-sord-sora-soar,4 : bold-bald-band-bank,3 : told-tole-tile,4 : geld-geed-reed-dree,4 : bold-bald-bale-vale,3 : bold-bald-ball,3 : wold-word-ward,4 : bold-bald-bale-wale,2 : wold-weld,2 : wold-wild,1 : wold,1 : wold,3 : goad-grad-gray,4 : bold-bald-yald-yard,4 : cold-cord-core-cero,
golf, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5 : rolf-roll-rill-rial-lair,4 : gold-bold-bald-band,3 : gold-hold-held,4 : rolf-role-hole-helo,3 : rolf-roll-rill,2 : gold-hold,5 : rolf-role-rile-ride-aide,5 : rolf-roll-roil-noil-noir,4 : gulf-gulp-pulp-pump,5 : wolf-wold-wild-wind-kind,3 : goof-loof-loaf,4 : rolf-role-mole-mile,3 : goof-loof-loon,3 : goof-loof-look,3 : rolf-role-vole,4 : goof-loof-look-lock,4 : rolf-roll-moll-mall,4 : gold-mold-meld-mead,3 : gold-mold-mild,2 : goof-goon,4 : gold-geld-gelt-gest,3 : rolf-role-rose,4 : rolf-role-orle-ogle,5 : rolf-role-pole-pale-pare,5 : rolf-role-pole-pale-peal,3 : rolf-roll-poll,4 : rolf-role-pole-pile,2 : gulf-gulp,3 : goof-poof-pood,4 : rolf-role-pole-pone,2 : goof-poof,6 : gold-told-dolt-doit-duit-quit,3 : rolf-roll-roil,4 : rolf-roll-roil-rail,4 : gold-gild-gird-girn,2 : gold-goad,3 : rolf-roof-rook,2 : rolf-role,4 : gold-bold-bald-band,4 : rolf-role-sole-sale,4 : flog-slog-shog-shop,3 : flog-slog-shog,3 : wolf-flow-slow,3 : goof-gook-sook,3 : flog-slog-snog,4 : flog-slog-slag-stag,5 : rolf-role-tole-tale-talk,4 : rolf-role-tole-tile,4 : rolf-role-rote-rete,4 : rolf-role-vole-vale,3 : gulf-gull-gall,4 : wolf-wold-word-ward,4 : rolf-role-rale-wale,3 : wolf-wold-weld,3 : wolf-wold-wild,1 : wolf,2 : wolf-woof,4 : gold-goad-grad-gray,5 : rolf-role-rale-rare-yare,5 : rolf-role-cole-core-cero,
hair, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : haik-hank,2 : heir-hear,3 : heir-heil-herl,2 : hail-hall,4 : haik-hack-hock-holk,4 : heir-hire-hide-aide,4 : hail-nail-noil-noir,4 : mair-rami-ramp-rump,4 : fair-fain-kain-kina,3 : lair-liar-lear,3 : lair-lira-lima,3 : lair-lain-loin,3 : haik-hack-lack,4 : lair-lira-lire-lore,3 : haik-hack-lack,1 : mair,3 : heir-hear-heat,4 : lair-rial-rill-mill,4 : lair-lain-loin-loon,4 : wair-wait-wast-west,5 : lair-lira-lire-lore-lose,4 : haar-hoar-hoer-goer,2 : pair-parr,3 : heir-hear-pear,3 : lair-rial-pial,4 : pair-paik-pika-pike,5 : mair-mail-maul-alum-plum,5 : lair-laid-land-band-bond,4 : pair-pain-pyin-piny,4 : fair-fail-foil-fool,4 : lair-laid-qaid-quid,1 : lair,2 : fair-fain,4 : fair-fain-gain-grin,3 : haar-hoar-roar,3 : haik-hack-rack,4 : heir-hear-sear-rase,3 : lair-laid-said,3 : lair-rial-sial,3 : wair-whir-whip,4 : haar-hoar-hoer-hoes,5 : fair-fain-sain-sawn-sown,3 : haik-hack-sack,4 : haik-hank-sank-sang,3 : heir-hear-sear,2 : haik-hank,3 : heir-hire-tire,5 : fair-fiar-fear-frae-free,4 : pair-parr-pare-pase,2 : wair-wail,3 : wair-wain-warn,4 : pair-parr-pare-ware,3 : wair-wail-wall,4 : lair-laid-land-wand,4 : fair-fail-foil-fowl,5 : fair-fail-foil-fool-wool,5 : fair-fiar-fear-frae-fray,3 : wair-wain-warn,4 : heir-heil-herl-hero,
hand, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : haed,2 : hard-herd,3 : hind-hint-hilt,3 : haed-hoed-hold,4 : sand-said-aids-aide,4 : hind-kind-kino-ikon,5 : band-bund-burd-burp-bump,2 : hind-kind,3 : land-lend-lead,3 : land-lane-line,4 : land-lend-leno-lino,3 : land-lank-lack,3 : land-lane-lone,3 : land-lank-lunk,3 : land-laid-maid,3 : haed-haet-heat,3 : hind-mind-mild,4 : wand-dawn-mawn-mown,3 : sand-send-sent,3 : sand-sane-sone,4 : haed-hoed-hoer-goer,2 : hard-pard,4 : band-bend-bead-beak,4 : band-bald-ball-pall,4 : band-bind-bine-pine,5 : sand-sang-sung-snug-slug,2 : band-bond,3 : band-bond-pond,4 : band-bond-pond-pood,4 : land-laid-qaid-quid,2 : rand-raid,2 : rand-raid,2 : rand-rind,3 : rand-rend-read,3 : rand-rank-rack,4 : band-bane-base-rase,1 : sand,3 : land-lane-lase,3 : hind-hins-hips,3 : haed-hoed-hoes,3 : wand-wans-wons,3 : sand-sank-sack,2 : sand-sang,4 : band-bard-bars-tars,1 : hank,4 : band-bind-bine-tine,4 : rand-rend-reed-dree,3 : band-bane-vane,3 : band-bald-ball,2 : wand-ward,2 : wand-wane,3 : wand-wend-weld,1 : wand,4 : band-bond-bold-wold,3 : wand-ward-word,3 : hard-yard-dray,2 : rand-darn,3 : hard-herd-hero,
head, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : herd,2 : held-hell,2 : held-hold,3 : hade-hide-aide,6 : bead-bend-bind-kind-kino-ikon,3 : heap-hemp-hump,4 : bead-bend-bind-kind,1 : lead,3 : lead-lade-lame,4 : lead-load-loan-loin,4 : bead-beak-beck-bock,3 : lead-lade-lode,4 : bead-beak-beck-buck,3 : heal-heil-hail,1 : mead,3 : mead-meld-mild,3 : mead-mean-moan,2 : heat-neat,4 : bead-bade-bode-node,4 : read-dare-dore-gore,3 : read-reap-pare,2 : bead-beak,3 : held-hell-hill,4 : lead-leap-pale-pile,5 : lead-leas-legs-lugs-slug,3 : bead-bend-pend,4 : bead-bend-pend-pond,4 : read-road-rood-pood,4 : dead-duad-quad-quid,3 : lead-lear-liar,4 : lead-lear-liar-rail,3 : read-rend-rind,1 : read,4 : bead-beak-beck-reck,3 : hear-sear-rase,2 : haed-hand,1 : heal,4 : heed-hied-hies-hips,3 : heed-hoed-hoes,5 : bead-bend-wend-wens-wons,4 : bead-beak-beck-bock,4 : bead-bend-bond-bong,2 : hear-sear,3 : haed-hand-hank,3 : mead-meat-tame,3 : read-reed-dree,3 : bead-bade-base,3 : lead-dale-wale,3 : read-dare-ware,2 : hade-wade,2 : held-weld,3 : bead-bend-wend,3 : held-weld-wold,3 : lead-load-woad,3 : bead-brad-bray,3 : read-dare-yare,2 : herd-hero,
hero, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : helo-hell,2 : helo-hole,4 : here-hire-hide-aide,5 : cero-core-sore-sori-nori,4 : helo-help-hemp-hump,4 : hers-hens-kens-kins,3 : herd-head-lead,3 : here-hire-lire,4 : hern-horn-lorn-loin,4 : cero-core-cork-cock,3 : cero-core-lore,5 : cero-cere-cure-lure-luce,3 : herl-merl-marl,3 : herd-head-mead,4 : zero-zerk-merk-mirk,3 : hern-horn-morn,3 : hers-hens-tens,3 : helo-hole-hose,2 : hoer-goer,3 : zero-zerk-perk,3 : zero-zerk-perk,3 : helo-hell-hill,4 : cero-core-pore-pope,5 : helo-hell-hull-gull-gulp,4 : cero-core-pore-pone,4 : cero-core-pore-pone,4 : helo-hole-pole-poll,6 : herd-hard-card-caid-qaid-quid,3 : herl-harl-hail,4 : aero-aery-airy-airn,4 : herd-nerd-rend-rind,3 : herd-head-read,3 : cero-core-cork,3 : cero-core-sore,3 : herd-hard-sard,2 : herl-heal,4 : hers-hens-hins-hips,2 : hoer-hoes,4 : hern-horn-sorn-sown,4 : cero-core-cork-cock,4 : cero-core-sore-sone,3 : hoer-hoar-soar,4 : herd-hard-hand-hank,3 : here-hire-tire,3 : here-dere-dree,4 : cero-cere-care-case,3 : helo-halo-hall,2 : herm-harm,3 : here-were-ware,2 : helo-hell,4 : helo-held-weld-wild,4 : helo-held-weld-wold,3 : hoer-hoed-hood,4 : herd-hard-yard-dray,3 : aero-aery-yare,1 : zero,
hill, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : hilt-holt,4 : bill-bile-bide-aide,4 : kill-kilo-kino-ikon,4 : pill-pull-pulp-pump,3 : kill-kilo-kino,3 : fill-fell-feal,2 : mill-mile,4 : bill-boll-boil-noil,4 : kill-kiln-link-lick,3 : vill-vile-vole,3 : hull-hulk-huck,2 : mill-mall,3 : mill-mell-meal,1 : mill,3 : mill-moll-mool,3 : hilt-hist-hest,4 : dill-doll-dole-dose,5 : bill-boll-bole-bore-gore,3 : hall-harl-hark,3 : pill-pial-peal,1 : pill,2 : pill-pile,3 : gill-gull-gulp,4 : bill-boll-bold-bond,3 : pill-poll-poly,2 : pill-poll,5 : dill-dial-laid-qaid-quid,2 : rill-rial,3 : rill-rial-rail,3 : gill-girl-girn,4 : gill-gild-gold-goad,4 : mill-milk-mick-rick,3 : rill-roll-role,4 : bill-ball-bald-band,2 : sill-sell,3 : hilt-hist-shit,4 : hall-hale-hole-hose,5 : bill-boll-bowl-bows-nows,3 : sill-silk-sick,4 : sill-silk-sink-sing,4 : sill-sell-seal-sear,3 : till-tall-talk,2 : till-tile,4 : rill-rile-rite-rete,3 : vill-vile-vale,1 : will,3 : hall-harl-harm,3 : will-wall-wale,1 : will,2 : will-wild,3 : rill-roll-rolf,3 : will-wild-wold,5 : pill-pall-paly-play-pray,4 : kill-kiln-kirn-karn,3 : hell-herl-hero,
holy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5 : poly-paly-pale-plea-ilea,4 : coly-cony-coni-icon,4 : holp-help-hemp-hump,4 : poly-pily-piny-ping,4 : moly-mola-loam-loaf,3 : moly-mole-mile,4 : coly-cony-coni-cion,2 : holk-hock,2 : hole-vole,3 : holk-hulk-huck,3 : moly-moll-mall,3 : moly-molt-melt,3 : moly-mold-mild,3 : moly-mony-mono,3 : holt-host-hest,2 : hole-hose,4 : coly-cory-gory-gore,4 : coly-cory-cork-pork,4 : poly-paly-pale-peal,2 : poly-pily,3 : poly-pily-pipy,4 : poly-pols-puls-plus,2 : poly-pony,1 : poly,2 : poly-poll,5 : holt-dolt-doit-duit-quit,4 : moly-moll-roll-roil,5 : coly-cony-coni-coin-cain,4 : poly-pily-piny-ping,3 : hold-gold-goad,2 : holk-hock,2 : hole-role,4 : hold-bold-bald-band,3 : hole-sole-sale,3 : hols-hops-hips,2 : hole-hose,3 : hols-hons-wons,2 : holk-hock,3 : poly-pony-pong,4 : hols-hots-rots-rats,3 : holk-honk-hank,3 : homy-home-tome,4 : hole-role-rote-rete,3 : hole-vole-vale,3 : moly-moll-mall,3 : holm-halm-harm,3 : hole-hale-wale,3 : moly-moll-mell,3 : hold-wold-wild,2 : hold-wold,2 : hold-wold,4 : poly-paly-play-pray,4 : coly-cory-corn-carn,3 : hole-helo-hero,
idea, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5 : aide-nide-node-nodi-nori,5 : idem-dime-lime-limp-jimp,4 : idem-dime-dine-kine,2 : ilea-flea,2 : idem-dime,4 : idem-dime-lime-limn,5 : odea-odes-does-docs-dock,4 : odea-olea-oles-lose,5 : idem-dime-lime-lice-luce,3 : ilea-ilka-kail,4 : ilea-flea-feal-meal,4 : ilea-ilka-ilks-silk,5 : aide-aids-mids-mods-moos,5 : odea-odes-opes-peso-pest,3 : odea-odes-ones,5 : odea-odes-ores-sore-gore,4 : ilea-plea-pale-pare,3 : ilea-plea-peal,4 : ilea-plea-peal-pial,3 : ides-side-sipe,6 : odea-olea-oles-sloe-slue-slug,5 : odea-odes-ones-eons-pons,5 : odea-odes-ones-eons-pons,5 : ilea-flea-feal-foal-fool,5 : aide-aids-said-qaid-quid,3 : ilea-ilka-kail,4 : ilea-ilka-kail-rail,4 : idem-dime-dine-ding,5 : ilea-flea-feal-real-read,4 : aide-ride-rice-rick,3 : odea-odes-ores,3 : aide-aids-ands,3 : ilea-flea-feal,4 : ides-dies-hies-hips,4 : odea-olea-oles-sloe,4 : odea-odes-owes-owns,4 : ides-ices-sice-sick,4 : odea-odes-ones-sone,4 : ides-ires-ares-arts,5 : ilea-plea-pale-tale-talk,2 : idem-item,4 : ilea-flea-flee-free,3 : aide-vide-vise,4 : ilea-plea-pale-wale,4 : aide-wide-wade-ware,3 : aide-wide-wade,4 : ilea-flea-feal-weal,3 : aide-wide-wine,4 : ilea-flea-flew-flow,5 : odea-odes-owes-woes-woos,5 : ilea-flea-fley-flay-fray,5 : ilea-plea-pale-pare-yare,5 : aide-hide-hire-here-hero,
